등록번호,서명,앞선KDC,권고KDC,재분류KDC,청구기호,반려유형,워커상태,확신도,판정,지적,분류경로
EM197569,내일식단의 속세맛 다이어트 치트키,596.9,594.5,594.5,594.5 김38내,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '요리' ≠ 워커 '조리법, 레시피' (번호는 권고와 일치)","5 기술과학 → 59 생활과학 → 594 식품과 음료 → 594.5 조리법, 레시피"
EM197570,몰입이라는 아이의 세계,,,598.1,598.1 김55몰,,ok,high,통과,,5 기술과학 → 590 생활과학 → 598 육아 → 598.1 육아 일반
EM197571,몸으로 마음을 다스리는 셀프 리셋,517.52,185.3 또는 517.32,185.3,185.3 오196몸,세목 부적합,ok,high,통과,,180 심리학 → 185 생리심리학 → 185.3 정신위생
EM197572,무염·저염 하나로 끝내는 베이스 유아식,596.9,594.5,594.5,594.5 애897무,표목 불일치,ok,high,통과,,5 기술과학 → 590 생활과학 → 594 식품과 음료 → 594.5 요리
EM197573,세포를 재생하면 질병은 낫는다,514.1,512 또는 513,512,512 조44세,표목 불일치,ok,high,통과,,5 기술과학 → 51 의학 → 512 임상의학
EM197574,스포츠의학으로 읽는 목과 어깨,512.91,517.89,517.89,517.89 이25스,세목 부적합,ok,high,통과,,"5 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.89 스포츠의학"
EM197575,실리콘밸리에서 배운 아이 자신감 설계법,337.2,378.9,378.9,378.9 권66실,표목 불일치,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '부모교육 가정과 교육과의 관계를' ≠ 워커 '사회교육' (번호는 권고와 일치),3 사회과학 → 37 교육학 → 378 사회교육 → 378.9 사회교육
EM197576,암을 이겨내는 사람들의 비밀,517.32,513.9,513.9,513.9 문65암,세목 부적합,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '병력질병사례 및 의무기록을' ≠ 워커 '종양학' (번호는 권고와 일치),5 기술과학 → 51 의학 → 513 내과학 → 513.9 종양학
EM197577,어서 오세요 희망약국입니다,517.3,518.6 또는 517,518,518 임75어,세목 부적합,needs_info,high,INFO,[INFO] 권고(518.6 또는 517)와 다른 번호를 선택 — 근거 확인 필요,500 기술과학 → 510 의학 → 518 약학
EM197578,우리 아이 평생 육아 마스터플랜,517.3,517.2 또는 598,598,598 김56우,세목 부적합,ok,high,통과,,5 기술과학 → 59 생활과학 → 598 육아
EM197579,우아한 노화,517.3,517.2 또는 511.4,517.3,517.3 김56우,세목 부적합,ok,high,WARN,[WARN] 앞선 분류 517.3 그대로 — 재작업으로 바뀌지 않음,"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.3 개인위생"
EM197580,"유연한 채식, 페스카테리언의 식탁",594.36,594.5 또는 594.55,594.5,594.5 지67유,표목 불일치,ok,high,통과,,500 기술과학 → 590 생활과학 → 594 식품과 음료 → 594.5 요리
EM197581,"이것만 알면 인테리어 공사로 1,000만 원 벌 수 있다",525.8,595 또는 548.95,595.4,595.4 양57이,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(595.4, 본표 '홈인테리어 및 가정설비방, 마루, 천장, 가구') / [INFO] 권고(595 또는 548.95)와 다른 번호를 선택 — 근거 확인 필요",5 기술과학 → 59 생활과학 → 595 주택관리 및 가정설비 → 595.4 표목 미확인
EM197582,일본 현지 슈퍼마켓 대백과,913.4,981.302 또는 325.5,981.302,981.302 스12일,표목 불일치,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 981 '아시아지리지역구분표 –1에 따라 세분하다. 예: 한국지리 981.1',9 역사 → 981 아시아지리 → 표목 미확인
EM197583,작고 우아한 빛나는 얼굴 만들기 : 안티에이징 편,518.35,512.9 또는 593,593.242,593.242 정92작,표목 불일치,ok,high,INFO,[INFO] 권고(512.9 또는 593)와 다른 번호를 선택 — 근거 확인 필요,"5 기술과학 → 59 가정과학 및 위생 → 593 몸치장(몸단장), 화장 → 593.24 얼굴의 피부의 부분손질 → 593.242 피부의 부분손질(스킨케어)"
EM197584,제시언니의 갱년기 수업,517.3,517.2 또는 513.6,517.36,517.36 제58제,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(517.36, 본표 '여자위생') / [INFO] 권고(517.2 또는 513.6)와 다른 번호를 선택 — 근거 확인 필요",5 응용과학 → 51 의학 → 517 건강증진·공중보건 및 예방의학 → 517.3 개인위생 → 517.36 표목 미확인
EM197585,중년을 살리는 하루 4분 운동,517.3,517.32,517.32,517.32 이52중,세목 부적합,ok,high,통과,,"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.3 개인위생 → 517.32 오락과 운동"
EM197586,집밥력,,,594.5,594.5 홀54집,,ok,high,통과,,594 식품과 음료 → 594.5 요리(조리법)
EM197587,청소년 정신 건강에 관한 모든 질문,517.32,513.8 또는 185.3,513.8,513.8 홍94청,세목 부적합,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 513 '-516과 같이 세분한다. 예: 내과간호 512.83',510 의학 → 513 내과학 → 513.8 표목 미확인
EM197588,추추의 집밥 클래스,597.3,594.51,594.51,594.51 추73추,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(594.51, 본표 '한국요리')",5 기술과학 → 590 생활과학 → 594 식품과 음료 → 594.5 표목 미확인 → 594.51 표목 미확인
EM197589,콩팥을 지키려면 음식부터 바꾸셔야겠습니다,517.523,517.52,517.52,517.52 류25콩,확인 필요,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(517.52, 본표 '식이일반적인 식이를')",5 기술 → 51 의학 → 517 질병 및 예방의학 → 표목 미확인
EM197590,킬러 푸드,591.7,594.37 또는 598,598,598 배14킬,미존재 세목,ok,high,통과,,5 생활과학 → 598 육아
EM197591,태교의 과학,518,517.2 또는 598,598.10212,598.10212 이57태,표목 불일치,needs_info,high,INFO,[INFO] 권고(517.2 또는 598)와 다른 번호를 선택 — 근거 확인 필요,5 기술과학 → 59 가정학 및 가정생활 → 598 육아 → 598.10212 예비부모를 위한 저작
EM197592,그림 속 철학 풍경,100,166 또는 650.1,166.8,166.8 김46그,세목 누락,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 166 '프랑스, 네덜란드철학' / [INFO] 권고(166 또는 650.1)와 다른 번호를 선택 — 근거 확인 필요","100 철학 → 166 프랑스, 네덜란드철학 → 166.8 20세기 프랑스철학"
EM197593,그림이 나를 자유롭게 할 거야,650.4,650.4 유지 가능,650.4,650.4 이56그,확인 필요,ok,high,FAIL,"[FAIL] 표목 불일치: 본표 '평론, 수필' ≠ 워커 '화가별·작품별·미술에세이' / [WARN] 앞선 분류 650.4 그대로 — 재작업으로 바뀌지 않음","6 예술 → 650 회화, 도화 → 650.4 화가별·작품별·미술에세이"
EM197594,더포스 현이쌤의 알짜 수영 레슨,694.1,696,696,696 이94더,표목 불일치,ok,high,통과,,"6 예술 → 690 오락, 스포츠 → 696 수상경기, 공중경기"
EM197595,디자인 트리거,650.6,658,658,658 윤73디,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '디자인디자인 일반, 장식예술, 도안, 포스터' ≠ 워커 '그래픽디자인, 도안, 포스터' (번호는 권고와 일치)","6 예술 → 650 회화, 도화 → 658 그래픽디자인, 도안, 포스터"
EM197596,리피디의 펜 한 자루로 끝내는 뻔뻔한 드로잉,657.5,651,651,651 리898리,세목 부적합,ok,high,통과,,"6 기술, 공학 → 650 회화, 도화 → 651 채색이론 및 실제"
EM197597,샤머니즘의 모든 것,600.04,219 또는 218,219,219 카295샤,표목 불일치,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '신화, 신화학신화의 기원, 의식, 기능 및 비교신화' ≠ 워커 '신화, 신학' (번호는 권고와 일치)","200 종교 → 210 비교종교 → 219 신화, 신학"
EM197598,실패한 이미지,,,660.1,660.1 판62실,,ok,high,통과,,600 예술 → 660 사진술 사진통신 → 660.1 사진이론
EM197599,옛 그림 속의 우리 나무,,,600.4,600.4 박52옛,,ok,high,통과,,6 예술 → 600 예술 → 600.4 예술의 주제
EM197600,유물멍 : 오래 볼수록 사랑스러운 것들,600.04,069 또는 814.7,069,069 국298유,세목 부적합,ok,high,통과,,"0 총류 → 06 일반 학회, 단체, 협회, 기관 → 069 박물관학"
EM197601,음악가의 일,670.6,670.9 또는 672,670,670 손68음,세목 부적합,needs_info,high,WARN,[WARN] 강목 670까지만 부여 — 세목 검토 필요 / [INFO] 권고(670.9 또는 672)와 다른 번호를 선택 — 근거 확인 필요,6 예술 → 67 음악 → 670 음악
EM197602,음악의 기술,670.4,672.6 또는 670.1,676,676 워194음,세목 부적합,ok,high,INFO,[INFO] 권고(672.6 또는 670.1)와 다른 번호를 선택 — 근거 확인 필요,6 예술 → 670 음악 → 676 건반악기 및 타악기
EM197603,일본 문구 대백과,681.8,589 또는 658,589,589 다57일,표목 불일치,needs_info,high,통과,,6 기술과학 → 589 소형상품제조
EM197604,재즈 레터,,,673.5304,673.5304 김39재,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 673 '성악',6 예술 → 67 음악 → 673 서양음악 → 673.5 기악곡 → 673.53 재즈 및 블루스 → 673.5304 재즈
EM197605,"진짜 예술, 가짜 예술",,,112.7,112.7 마297진,,needs_info,low,통과,,표목 미확인
EM197606,"행성의 순간, 영화의 감각",,,687.15,687.15 김55행,,ok,high,통과,,"6 예술 → 68 연극, 영화, 방송 → 687 텔레비전극 및 시청각매체 방송 예술 → 687.15"
EM197607,화가들의 미술관,,,653.2,653.2 이94화,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 653 '시대별 및 국별 회화역사, 평론, 화파 및 화집'",6 예술 → 65 미술 → 653 회화 → 653.2 서양화
EM197608,로지쌤의 영어 그림책 정공법,748,747.07 또는 374,747,747 로78로,표목 불일치,needs_info,high,INFO,[INFO] 권고(747.07 또는 374)와 다른 번호를 선택 — 근거 확인 필요,"7 언어 → 74 제어 → 747 독본, 해석, 회화"
EM197609,세상에서 가장 순수하고 우수한 말,710.7,711 또는 710.9,714,714 정55세,세목 부적합,needs_info,high,INFO,[INFO] 권고(711 또는 710.9)와 다른 번호를 선택 — 근거 확인 필요,7 언어 → 710 한국어 → 714 어휘
EM197610,요만큼만 알아도 미드가 엄청 재밌어진다!,740.7,747.5,747,747 크298요,표목 불일치,needs_info,high,INFO,[INFO] 권고(747.5)와 다른 번호를 선택 — 근거 확인 필요,"7 언어 → 74 영어 → 747 독본, 해석, 회화"
EM197611,일본어 여행회화 굿데이,,,737,737 이66일,,ok,high,통과,,"7 언어 → 73 일본어 및 기타 아시아 제어 → 737 독본, 해석, 회화"
EM197612,자아 만들기,740.7,740.7 근거 불명,740.7,740.7 모18자,세목 부적합,ok,high,WARN,[INFO] 본표 미수록 조합번호 — 상위 740 '영어' / [WARN] 앞선 분류 740.7 그대로 — 재작업으로 바뀌지 않음,7 언어 → 740 영어 → 740.7 영어 학습·지도
EM197613,자주 쓰는 영어 단어를 파고듭니다,743,744,744,744 김78자,세목 부적합,ok,high,통과,,7 언어 → 740 영어 → 744 어휘
EM197614,지적 대화를 위한 AI 언어 수업,004.582,004.73,004.73,004.73 강56지,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(004.73, 본표 '인공지능인공지능시스템, 자동추론, 기계학습')",004 컴퓨터과학 → 004.73 표목 미확인
EM197615,짧은 문장의 힘,802.5,802,802,802 유64짧,표목 불일치,needs_info,high,통과,,"8 문학 → 800 문학 → 802 문장작법, 수사학"
EM197616,64,,,833.6,833.6 요875육,,ok,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197617,I,833.7,833.6,833.6,833.6 미86아,표목 불일치,ok,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197618,가를 두고,,,813.7,813.7 백12가,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197619,간호사 우즈키의 미련,833.7,833.6,833.6,833.6 아878간,표목 불일치,ok,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197620,거울은 먼저 웃지 않는다,813.8,813.7,813.7,813.7 신57거,대상독자 오판,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197621,검은 수선화,,,843,843 고27검,,needs_info,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197622,계절의 수첩,,,834.6,834.6 고22계,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 834 '수필',8 문학 → 830 일본문학 및 기타 아시아 제문학 → 834 수필 → 834.6 쇼와
EM197623,고백은 이미 본 장면,,,813.7,813.7 김25고,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197624,관계의 그릇,180,189.2,189.2,189.2 이94관,세목 누락,ok,high,통과,,180 심리학일반 → 189 응용심리학 → 189.2 개인 간의 관계
EM197625,"굿바이, 재버워크",,,833.6,833.6 이52굿,,ok,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197626,그녀와 내가 사계절을 맛있게 즐기는 법,833.8,833.6,833.6,833.6 니68그,대상독자 오판,ok,high,통과,,8 문학 → 83 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197627,그렉 이건 더 베스트,,,843,843 이14그,,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197628,그리고 강은 그녀를 끌어내린다,843.7,843,843,843 윤78그,미존재 세목,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197629,"그림책, 알수록 사랑하게 된다",800,028 또는 011,028,028 서94그,비문학을 문학류로,ok,high,FAIL,[FAIL] 본표에 없는 번호(028) — 조기표 조합이면 근거를 밝힐 것,0 총류 → 020 문헌정보학 → 028 독서 및 독서지도
EM197630,"기적처럼, 채은이",814,814.7,814.7,814.7 김66기,세목 누락,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 표목 미확인
EM197631,꿈이다 아니다,,,813.7,813.7 김77꿈,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197632,나는 노래한다,,,813.7,813.7 이76나,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197633,나를 살리는 음식들,814.7,594.51 또는 814.7,594.51,594.51 선73나,세목 부적합,ok,high,통과,,"5 기술과학 → 59 가정과학 및 가정생활 → 594 식품과 음료 → 594.5 조리법, 요리 → 594.51 한국요리"
EM197634,나만의 스토리가 있는 아이로 키우는 법,818,378.9,378.9,378.9 김45나,표목 불일치,ok,high,통과,,3 사회과학 → 370 교육학 → 378 사회교육 → 378.9
EM197635,낙하,,,813.7,813.7 이97낙,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197636,날갯짓 연습,,,813.7,813.7 윤57날,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197637,남다른 식구,,,813.7,813.7 조94남,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197638,내가 죽이지 않았다,,,813.7,813.7 정94내,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197639,너무 진지하게 여기진 말아요,,,854,854 헤54너,,ok,high,통과,,8 문학 → 850 독일문학 → 854 수필
EM197640,노천명 산문,,,814.6,814.6 노83노,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.6 현대
EM197641,다른 세계의 나에게,,,813.7,813.7 연64다,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197642,다섯 평이면 충분해,,,814.7,814.7 박78다,,needs_info,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197643,당신은 더 잘 쓰게 된다,,,802,802 이18당,,ok,high,통과,,"8 문학 → 800 문학 → 802 문장작법, 수사학"
EM197644,두근두근 에코 클럽,,,813.7,813.7 하68두,,needs_info,low,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197645,루미너스,813.7,확인 필요,840,840 박78루,기술 불일치,needs_info,low,WARN,[WARN] 강목 840까지만 부여 — 세목 검토 필요 / [INFO] 권고(확인 필요)와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 840 영미문학
EM197646,루프 안의 너,,,813.7,813.7 조12루,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'","8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기, 2000-"
EM197647,마고가 돈 문제에 대처하는 법,843.6,843,843,843 소897마,관 관행 위반,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197648,마음 귀신,,,814,814 임66마,,needs_info,high,통과,,8 문학 → 81 한국문학 → 814 수필
EM197649,만일 그대가 나보다 먼저 간다면,,,811.6,811.6 허56만,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 811 '시',8 문학 → 81 한국문학 → 811 시 → 811.6 20세기
EM197650,말라죽은 앵두나무 아래 잠자는 저 여자,,,811.7,811.7 김64말,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 811 '시',8 문학 → 81 한국문학 → 811 시 → 811.7 21세기
EM197651,문제늑대가 우리를 갈라놓았다,823.7,853,853,853 오897문,문학 언어 오배정,ok,high,통과,,8 문학 → 85 독일문학 → 853 소설
EM197652,바다 여인의 선물,,,843,843 존57바,,ok,high,통과,,8 문학 → 84 영미문학 → 843 미국 소설
EM197653,바다가 들리는 편의점 4,833.8,833.6,833.6,833.6 마86바,대상독자 오판,ok,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197654,바다가 들리는 편의점 5,833.7,833.6,833.6,833.6 마86바,표목 불일치,ok,high,통과,,8 문학 → 830 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197655,반장으로서의 책임과 의무 7,813.7,813.7 유지 가능,813.7,813.7 수58반,확인 필요,needs_info,high,WARN,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을' / [WARN] 앞선 분류 813.7 그대로 — 재작업으로 바뀌지 않음",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197656,백의 세계,,,813.7,813.7 고94백,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197657,부서진 마음들의 마을,,,843,843 라68부,,ok,high,통과,,8 문학 → 84 영미문학 → 843 아일랜드 소설
EM197658,부피의 계산에 대하여 1,800.99,859,859.81,859.81 발294부,총서 내 불일치,ok,high,INFO,[INFO] 권고(859)와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 85 독일문학 → 859 기타 게르만문학 → 859.81 덴마크문학
EM197659,부피의 계산에 대하여 2,883,859 (vol.1과 일치),859.81,859.81 발294부,문학 언어 오배정,ok,high,INFO,[INFO] 권고(859 (vol.1과 일치))와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 859 기타 게르만문학 → 859.81 덴마크문학
EM197660,북쪽의 개,800,843,843,843 매874북,세목 누락(대분류),needs_info,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197661,비밀구락부,813.8,813.7,813.7,813.7 이95비,대상독자 오판,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197662,빵집에서는 수수께끼의 향기가 난다,833.7,833.6,833.6,833.6 쓰86빵,표목 불일치,ok,high,통과,,8 문학 → 830 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197663,산곡미풍,828,824.7,824.7,824.7 위95산,세목 부적합,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 824 '수필824.2-.7은 820.902-.907과 같이 세분한다. 예: 청시대수필 824.6',8 문학 → 82 중국문학 → 824 수필 → 824.7
EM197664,살목지,813.8,813.7,813.7,813.7 조78살,대상독자 오판,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 810 한국문학 → 813 소설 → 813.7 21세기
EM197665,"살수, 기화",,,813.7,813.7 소54살,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197666,삼도천 환생 고등학교,,,813.7,813.7 범66삼,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197667,상처와 결별하기,,,814.7,814.7 도75상,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197668,생활력,,,818,818 박52생,,ok,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197669,서울의 선인,,,813.7,813.7 김95서,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197670,세부 속으로,,,844,844 데68세,,needs_info,high,통과,,8 문학 → 840 미국문학 → 844 수필
EM197671,세상에 뭔 놈의 천재들이 이렇게 많은 거야,,,818,818 조94세,,ok,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197672,솔 벨로 1,843.5,843,843,843 벨295솔,관 관행 위반,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197673,솔 벨로 2,843.5,843,843,843 벨295솔,관 관행 위반,ok,high,통과,,8 문학 → 840 영미문학 → 843 소설
EM197674,수평선 너머,843.7,843,843,843 마68수,미존재 세목,ok,high,통과,,8 문학 → 840 영미문학 → 843 소설
EM197675,슬픈 호랑이,843.7,863,863,863 시195슬,문학 언어 오배정,ok,high,통과,,8 문학 → 860 프랑스문학 → 863 소설
EM197676,시부야의 초급반,,,818,818 남16시,,ok,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197677,신세기 도킹 스테이션,,,811.7,811.7 윤22신,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 811 '시',8 문학 → 81 한국문학 → 811 시 → 811.7 21세기
EM197678,쓰는 동안 조금씩 어른이 되었다,,,818,818 라48쓰,,needs_info,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197679,아멜리아와 꿀벌들,,,873,873 로27아,,ok,high,통과,,8 문학 → 870 스페인 및 포르투갈문학 → 873 소설
EM197680,아이를 위한 부모 인문학,100,378.9,378.9,378.9 김38아,세목 누락,ok,high,통과,,3 사회과학 → 37 교육 → 378 평생교육 → 378.9 부모교육
EM197681,악마는 열심히 산다,,,813.7,813.7 김95악,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197682,애니가 남긴 것,843.7,843,843,843 퀸27애,미존재 세목,needs_info,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197683,어느 영화의 이변에 대한 목격 정보를 모집합니다,800,833.6,833.6,833.6 카68어,세목 누락(대분류),ok,high,통과,,8 문학 → 830 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197684,어떤 여름방학,,,814.7,814.7 궁298어,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197685,얼음 녹이기,,,813.7,813.7 김54얼,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197686,"얼지 마, 죽지 마, 사랑하게 될 거야",,,813.7,813.7 권94얼,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197687,얽히는 돌봄,309.111,338 또는 331.47,338,338 희67얽,세목 부적합,ok,high,통과,,3 사회과학 → 338 사회복지
EM197688,여러 개의 북을 두드리며,,,892.95,892.95 토872여,,ok,high,통과,,8 문학 → 89 기타 제문학 → 892 기타 유럽 문학 → 892.95 폴란드 문학
EM197689,여름,843.6,843,843,843 워887여,관 관행 위반,needs_info,high,통과,,8 문학 → 840 영미문학 → 843 소설
EM197690,"여보세요, 맞춤법 때문에 전화했습니다",,,814.7,814.7 이94여,,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197691,연이 이야기,,,818,818 소45연,,ok,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197692,오프사이드,,,813.7,813.7 김38오,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197693,우리 동네 흉가로 놀러 오세요,,,813.7,813.7 전14우,,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197694,우리 집 댕냥이가 죽으면 어떡하지?,818,818 유지 가능,818,818 시65우,기술 불일치,ok,high,WARN,[WARN] 앞선 분류 818 그대로 — 재작업으로 바뀌지 않음,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197695,우리는 가장 밝은 밤에 헤어졌다,,,892.83,892.83 도57우,,needs_info,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 892 '인도-유럽계 문학인도-유럽문학 및 서양문학 일반을',8 문학 → 89 기타 제문학 → 892 러시아문학 → 892.83 러시아 소설
EM197696,우리의 여름은 문장이 된다,818,326.14 또는 834,326.1,326.1 이58우,세목 부적합,ok,high,INFO,[INFO] 권고(326.14 또는 834)와 다른 번호를 선택 — 근거 확인 필요,"300 사회과학 → 326 상업, 교통, 통신 → 326.1 상업경영"
EM197697,우린 반드시 행복해진다,,,818,818 조54우,,ok,high,통과,,8 문학 → 81 한국문학 → 818 르포르타주 및 기타
EM197698,유심인,,,823.7,823.7 정66유,,ok,high,통과,,8 문학 → 82 중국문학 → 823 소설 → 823.7 현대
